Likes,Views
26049,909323
21274,1100740
2271,240234
24014,947162
526,11293
37370,2578373
1159,64703
13796,689494
1968,56066
10725,155562
1,27451
3026,30405
2113,98972
65719,2724499
317,3618
38690,1385264
1208,22966
953712,84410562
129100,7846143
353053,41739024
3221,102646
4732,78050
2135,41057
6865,55078
2740,39049
2538,51747
726,21868
920,9533
1656,34090
15637,309098
4063,62428
1716,16080
1815,41900
1944,23225
670,10451
3001265,23836066
19997,271333
2009,30632
1382,23763
834,13489
7185,149396
2952,57411
3645,38560
4049,52323
1006,11230
6117,126185
2175,35288
947,18535
2342,34789
29728,405791
1431,26709
3500,107906
44616,426875
193217,1765945
1015,17191
1417,34941
196898,1223879
18063,184093
8815,200452
1155,21112
535,10339
462,10737
5035,131760
1677,23239
2194,36560
19671,259851
2967,63886
48041,450066
2025,46862
10321,205486
1144,12289
329,14341
187163,13048900
59866,2844014
404,20861
53333,2817800
1638369,84747957
1572,48918
1455,34655
3498,53592
6057,589429
797,15177
7007,632477
2683,49294
9126,497458
3933,400330
47306,2529301
186218,9803295
13657,1120660
9965,325200
4452,190418
4427,331718
2713,61478
5940,593989
8031,332371
19154,1756737
247914,16294784
74081,3176730
11197,325309
68762,3691767
9700,461467
11059,1104214
4148,149363
53,6817
1571,37883
185175,9147428
3685,23653
903,40275
16915,1695867
19800,775719
766,65632
77692,3731583
5743875,826423766
1103713,106151957
28863,1723190
11025176,1582262997
45448,10155588
475,66279
1357197,153478497
24970,3248506
68133,9253680
11323,2812807
282754,19469009
1019385,193685278
164337,7108897
22420,6599382
9313,1722365
27102,2549580
1628,97163
24285,1285807
7240,1316713
7375,2362949
74617,8122555
338601,38478475
1668,258994
280090,37037129
72612,14914811
4986,617350
73362,10331666
6177588,378164492
6473,267705
21946,3776936
120500,5156616
639942,161103805
94089,5434925
10818,2058438
14386,1853171
37,31343
371,23448
2382,104246
137327,6216027
9368,398061
431284,10450206
23130,1188153
2639,131943
881,45584
7110,262959
34575,1309077
4560,150633
26171,1451335
3749,167574
50074,7178954
37645,753025
130817,17103736
222713,6281449
310589,6701666
3121,143605
908,37905
1445,6611
2951,63675
1237,65745
32962,3371830
19436,940004
324,6631
6559,157301
28195,943664
992,59749
1796,77345
5524,206418
9633,88788
17548,481643
28878,544761
12675,167962
345943,18380002
2586,52954
98631,1044608
1809,94188
23676,167863
31710,444036
1333,119487
54092,1655085
16605,183096
287909,23169378
11316,187063
12935,129591
4279,188490
2815,97537
11751,408227
7246,88247
26848,273349
5675,70181
64464,1564078
20892,795386
4510,276901
2990,42924
10676,111027
35092,1815767
88340,6734947
1184,50148
3396,145497
1229,22525
2716,66379
1251353,18565979
6642,314438
57527,1204024
2779,187668
8260,216482
83345,4452337
2963,50724
37251,389051
8560,107957
4160,218182
3245,51716
298445,3773387
407,7163
506,10309
8860,140916
586,12464
51658,876309
18806,689166
3562,87567
15128,338212
38148,932919
45253,3243901
669,24686
15036,385709
80947,2706505
21809,549530
1115,25201
19894,977299
18698,400968
549,17195
70001,1879805
10660,196727
70562,2535222
1786,30191
48633,4154143
9624,240450
9354,210192
503,13591
30046,674979
863,61085
7675,327146
1218,45214
13503,273900
2043,25291
1529,66259
1111,20897
692,19220
25308,897553
4227,108874
4144,419705
4897,231325
12892,290351
22430,488575
6383,258491
1800,53207
2309,99569
86374,8596384
3083,55195
3480,126212
9475,284841
712273,18116954
1962726,37550877
3710978,63310479
4493972,99698731
2946965,71968133
302909,8097268
3550678,93963115
142261,2529954
14259033,285526909
2897163,85522922
207061,4573945
365592,11123363
3945358,125670049
3963124,116842899
6055504,191988678
374130,10280971
31521,889300
2869906,94508185
2021442,66999237
3514143,97578090
3557658,160818375
598389,25367316
1572751,91053784
1511358,69330547
1801566,61197670
378105,13637506
312575,3392295
385059,17321080
4763784,110124989
2030057,107126467
4437532,180766617
367987,11118461
2135851,93319974
1080199,37780348
1552125,66839006
446014,20779962
2129926,98750169
319041,9734303
4120158,136439525
3136265,79882619
557743,21747698
2121115,92621700
3206546,156000008
632277,18492610
2523764,134377650
372266,13545273
381271,15014572
492024,6968660
201509,6383519
494889,7715681
61448,1928710
11244,755642
544,53110
6958,288312
656,51269
1120,66507
18730,1101187
13751,791042
8090,537070
29541,873549
4634,366447
2323,83353
5630,386436
7890,462943
2521,71652
12415,1020152
3215,288796
6465,633520
4840,251101
9069,1084758
1531,85359
5089,454927
4836,264809
19359,931636
6554,549566
8070,576311
3847,278240
5936,473122
31563,1889320
7973,749734
11650,438358
7538,566143
644,65137
5947,393718
6164,386949
11563,620690
12849,858549
9666,713211
6383,591721
25885,1178354
1274,112418
4615,278274
7402,367781
2983,240447
16316,1299714
21111,1203517
1862,148992
16641,1195181
8684,475535
4898,499461
13318,657999
1869,88980
1777,64368
4386,170305
132298,4981769
61100,3452571
49931,2494758
37430,1503148
542855,18496859
45800,3588950
36655,1433436
51924,2110850
1,63
409962,10330078
31742,1205719
0,25
56774,1011277
5902,313847
396477,23925458
14687,689762
19915,1471735
4293,287879
226135,9629509
128800,3526040
105414,3863719
65182,9897790
104645,3455728
35432,832026
103946,3779069
41293,1194593
26530,602137
85704,8639567
310947,14800155
83509,2954971
45821,2359653
5000,252524
46953,1743151
65238,5323008
621,55643
16576,452937
31665,1045672
26731,1251200
74180,7556654
18852,767162
15317,319489
29562,595608
62343,6225136
18353,7073338
23783,513747
74324,7428280
29581,1097006
96215,9552698
1519,90926
17977,383734
116596,11792862
132214,17716356
47947,5054426
43511,747705
48317,4613023
13733,489332
132562,4418714
44755,1152562
28907,2767666
42848,1778635
68035,7209027
152531,3270832
44412,1346386
12527,787667
29773,880432
126685,2817851
22310,1071023
237869,8445210
236557,4696990
19509,928585
3379,132960
49795,2796778
95001,6312772
40750,1235556
10959,844015
6813,485266
281680,9033159
18403,1429951
62098,2889074
296448,19097087
191691,3182375
35004,952869
673896,14835017
32717,930267
20329,1331141
122180,8705503
2012,72517
12994,234454
1346,106305
7355,278584
25394,761574
21123,745050
26210,1875721
1194852,42252029
188472,13829574
11961,495065
11420,596902
10960,858731
31942,1089328
66353,1546801
7687,451843
9154,652244
11249,482269
20361,1539948
12193,1267276
27575,1761493
962,30388
139552,4235793
159719,2029047
26902,1248957
55719,802372
131961,4849924
202969,4801805
186881,7004107
10317,165623
128268,4991078
62009,3134189
24508,374241
6806,215489
42940,1407319
13004,318419
8864,351985
63890,1732512
2143,198844
10846,759857
11672,302924
33558,950825
752,16115
47204,2302755
61813,6091315
4557,97136
1514,37830
2596,56994
7452,113080
59163,1754969
62172,1345420
11911,610308
16747,525081
28944,1515048
4849,82596
13406,362229
1149,17156
27889,437660
10409,199395
10292,327463
5213,135056
909,24612
30095,1530735
37041,1672442
61424,872859
6557,179728
7812,143959
32,83073
32189,1750656
11395,282641
22667,939411
4440,95826
40994,1115596
33773,655844
5333,87181
93512,2467290
4996,86658
93420,2745019
2677,51017
88302,2173854
959,9269
27953,848504
3465,59232
2208,37340
7455,71578
697,17418
59959,1310018
406,13184
1897,36948
7166,156610
4122,112040
54951,5370346
760,11630
3769,180396
8058,566503
119930,3432799
92823,8295441
2104,46065
20892,640120
79878,2750006
565673,31667627
350411,6058858
2179,55298
7785,621651
43557,514758
3016,56101
2118,35759
221,2225
89783,2610708
77209,1700683
5437,109574
814,12274
4936,208877
4972,87422
28895,707813
22443,681002
24496,254500
3675,85298
15392,297966
24059,805728
926,16396
1079,16451
115164,4098562
1209,19967
858,18992
24017,1148562
64432,4526546
6900,114921
406,13184
52160,2497202
7292,135067
39845,1760155
1708,58559
3205,84465
1793,75483
124490,8830062
2976,103500
117231,2657361
35423,1034342
2468,37870
1562,10503
855,24863
1409,12041
438812,22439610
199933,17069314
1025,14264
2295,179180
25029,1651459
1781,33246
2363,42216
466063,8324871
7455,447522
449,4368
6875,543947
1872,28892
1537,41735
21393,1557335
